.99144608,.91604084,2659.6565,2564.1975,34105.656,25000
.98946339,.90529108,2625.3647,2886.094,42636.039,27300
.99306709,.94074374,2653.3062,2789.0261,47351.352,33500
.99584389,.90811163,2648.5725,2653.2417,62776.172,39000
.99145687,.93170398,2673.9092,2617.7996,57525.688,37000
.98873651,.91228861,2680.72,2632.8875,55108.086,37600
.9932546,.96138394,2646.6797,2639.4866,63407.914,43000
.99412405,.91011941,2660.0625,2657.6819,66386.289,45600
.99202383,.87121141,2635.197,2522.6006,73908.094,50600
.99078149,.94395524,2663.4768,2654.7488,88394.07,58000
.99160308,.92416757,2634.5273,2525.4995,87267.109,57200
.9914723,.89231956,2623.2566,2658.6948,95818.813,60000
.9888767,.90851969,2630.1482,2660.1685,96798.586,67000
.99142766,.91436785,2660.3369,2471.3196,101243.55,68000
.98818398,.89850307,2617.1619,2616.6311,107127.76,67400
.98987275,.8901729,2641.7686,2580.3582,113387.12,76000
.98720771,.95885086,2631.9077,2571.7039,114786.08,76400
.98603243,.88334292,2600.5586,2429.5269,121683.47,86500
.98284817,.86784488,2588.3901,2496.1152,122839.93,77100
.98129863,.84516579,2552.2227,2500.4685,126566.24,85000
.97837597,.85020286,2562.3274,2427.7083,139333.28,95000
.9824273,.89660889,2554.3018,2504.0374,130492.78,89200
.98136002,.83672416,2517.804,2462.2827,143236.16,96600
.97415459,.8554607,2524.3386,2549.1255,149217.34,98000
.98067153,.85770434,2504.1628,2485.9126,142601.67,98400
.96810317,.89233905,2494.7888,2411.5552,161639.66,109300
.96997654,.81184989,2456.0239,2431.2561,165740.97,110700
.96400094,.79461855,2448.4961,2281.6382,189249.22,115200
.95334005,.76277268,2408.1165,2291.4094,192228.09,115000
.94725478,.75742853,2405.2756,2280.7876,180442.69,120000
.87888706,.70859194,2290.8945,2123.1956,228499.77,152000
.84691244,.67231977,2217.6746,2037.4027,230669.17,154400
.83313513,.67189133,2148.4194,2046.12,232987.31,167000
.79153305,.59293717,2098.0752,2172.144,217968.17,156100
.73089457,.54256958,2052.6621,2053.9792,234586.61,160000
.62163895,.49884352,1957.9095,1916.8636,221175.84,150500
.57899404,.4080103,1926.8892,2098.3616,218350.61,147000
.55435324,.44022596,1830.7107,1834.5295,220465.56,150000
.52853644,.37673503,1803.2495,1872.5831,223345.25,145600
.48354024,.29042497,1754.8986,1785.7563,215810.39,153000
.39776143,.30321687,1749.3071,1756.8864,231598.56,140500
.36888459,.28776997,1744.9897,1638.4801,226254.92,151000
.35307002,.27561015,1757.0085,1737.3873,214583.27,134000
.32430315,.22196104,1694.0378,1766.0521,183484.19,120000
.29329944,.22250405,1683.8536,1642.2549,209126.83,143100
.25971323,.23644537,1687.1503,1758.879,209098.75,147100
.25337809,.19538532,1698.4977,1613.5549,192558.17,121100
.21624614,.18667164,1749.7134,1604.3977,202854.14,119600
.19416229,.17206852,1782.1437,1603.5338,228399.92,143000
.18724319,.14853023,1686.2983,1516.319,210887.64,139900
