age, pop, pop_good, pop_work_good, C, A, H_good, H_bad, H, H_work_good, H_work_bad, H_work, P_good, P_bad, P, AIME, B
30,        3500.00000,        3300.00000,        3300.00000,       40594.35607,       34776.70542,        2474.44437,        1911.90141,        2442.29906,        2474.44437,        1911.90141,        2442.29906,           1.00000,           1.00000,           1.00000,        1537.56719,           0.00000
31,        3497.00000,        3303.00000,        3303.00000,       41504.46516,       36032.24588,        2483.94462,        1917.00472,        2452.49299,        2483.94462,        1917.00472,        2452.49299,           1.00000,           1.00000,           1.00000,        1888.15476,           0.00000
32,        3486.00000,        3294.00000,        3294.00000,       42393.50941,       37793.71731,        2488.84382,        1924.37966,        2457.75457,        2488.84382,        1924.37966,        2457.75457,           1.00000,           1.00000,           1.00000,        2249.70220,           0.00000
33,        3480.00000,        3268.00000,        3268.00000,       43347.73961,       39929.21564,        2505.68229,        1936.87528,        2471.03083,        2505.68229,        1936.87528,        2471.03083,           1.00000,           1.00000,           1.00000,        2619.97382,           0.00000
34,        3475.00000,        3252.00000,        3252.00000,       44296.95314,       42436.72251,        2521.18102,        1954.71918,        2484.82966,        2521.18102,        1954.71918,        2484.82966,           1.00000,           1.00000,           1.00000,        2998.47732,           0.00000
35,        3466.00000,        3212.00000,        3212.00000,       44949.30322,       45164.42984,        2522.83258,        1965.81051,        2482.01215,        2522.83258,        1965.81051,        2482.01215,           1.00000,           1.00000,           1.00000,        3382.15902,           0.00000
36,        3462.00000,        3196.00000,        3196.00000,       46059.27898,       48097.16307,        2546.39152,        1965.35251,        2501.74785,        2546.39152,        1965.35251,        2501.74785,           1.00000,           1.00000,           1.00000,        3774.45780,           0.00000
37,        3456.00000,        3186.00000,        3186.00000,       46702.81088,       51360.86987,        2545.68209,        1965.19419,        2500.33147,        2545.68209,        1965.19419,        2500.33147,           1.00000,           1.00000,           1.00000,        4172.20634,           0.00000
38,        3447.00000,        3167.00000,        3167.00000,       47509.36342,       54785.39676,        2554.77654,        1966.78004,        2507.01355,        2554.77654,        1966.78004,        2507.01355,           1.00000,           1.00000,           1.00000,        4575.31305,           0.00000
39,        3439.00000,        3138.00000,        3138.00000,       48331.72711,       58481.35676,        2572.93390,        1974.24350,        2520.53325,        2572.93390,        1974.24350,        2520.53325,           1.00000,           1.00000,           1.00000,        4983.80937,           0.00000
40,        3422.00000,        3131.00000,        3131.00000,       48639.65613,       62320.32488,        2560.91382,        1976.40331,        2511.20822,        2560.91382,        1976.40331,        2511.20822,           1.00000,           1.00000,           1.00000,        5393.30655,           0.00000
41,        3413.00000,        3105.00000,        3105.00000,       49073.99574,       66217.13753,        2570.21052,        1973.73904,        2516.38303,        2570.21052,        1973.73904,        2516.38303,           1.00000,           1.00000,           1.00000,        5804.05188,           0.00000
42,        3407.00000,        3109.00000,        3109.00000,       49559.55245,       70583.74179,        2567.83608,        1976.83572,        2516.14306,        2567.83608,        1976.83572,        2516.14306,           1.00000,           1.00000,           1.00000,        6219.53119,           0.00000
43,        3389.00000,        3025.00000,        3025.00000,       50023.60507,       74939.45528,        2570.42882,        1980.49963,        2507.06670,        2570.42882,        1980.49963,        2507.06670,           1.00000,           1.00000,           1.00000,        6636.02847,           0.00000
44,        3375.00000,        3028.00000,        3028.00000,       50204.69999,       79515.99644,        2563.10201,        1979.93962,        2503.14428,        2563.10201,        1979.93962,        2503.14428,           1.00000,           1.00000,           1.00000,        7052.40181,           0.00000
45,        3360.00000,        2982.00000,        2982.00000,       50961.56334,       84191.95579,        2587.69286,        1973.92940,        2518.64447,        2587.69286,        1973.92940,        2518.64447,           1.00000,           1.00000,           1.00000,        7469.04044,           0.00000
46,        3350.00000,        2974.00000,        2974.00000,       50998.10785,       89287.31339,        2580.44577,        1964.77127,        2511.34320,        2580.44577,        1964.77127,        2511.34320,           1.00000,           1.00000,           1.00000,        7886.76398,           0.00000
47,        3334.00000,        2897.00000,        2897.00000,       51070.29179,       94145.56547,        2580.82025,        1968.13565,        2500.51336,        2580.82025,        1968.13565,        2500.51336,           1.00000,           1.00000,           1.00000,        8302.90669,           0.00000
48,        3325.00000,        2841.00000,        2841.00000,       51393.03634,       99053.88449,        2591.07432,        1967.89327,        2500.36165,        2591.07432,        1967.89327,        2500.36165,           1.00000,           1.00000,           1.00000,        8718.76011,           0.00000
49,        3302.00000,        2812.00000,        2812.00000,       51223.20083,      104164.57820,        2582.22167,        1962.26304,        2490.22296,        2582.22167,        1962.26304,        2490.22296,           1.00000,           1.00000,           1.00000,        9133.37527,           0.00000
50,        3282.00000,        2772.00000,        2772.00000,       51227.09978,      109218.13225,        2578.74689,        1961.30198,        2482.80024,        2578.74689,        1961.30198,        2482.80024,           1.00000,           1.00000,           1.00000,        9543.28940,           0.00000
51,        3261.00000,        2700.00000,        2700.00000,       51071.68529,      114072.73941,        2571.73853,        1954.72929,        2465.59250,        2571.73853,        1954.72929,        2465.59250,           1.00000,           1.00000,           1.00000,        9951.77292,           0.00000
52,        3234.00000,        2644.00000,        2644.00000,       50996.75627,      119139.35966,        2575.23430,        1955.91638,        2462.24804,        2575.23430,        1955.91638,        2462.24804,           1.00000,           1.00000,           1.00000,       10360.41868,           0.00000
53,        3200.00000,        2614.00000,        2614.00000,       50931.06596,      124622.09750,        2569.76576,        1951.31393,        2456.51177,        2569.76576,        1951.31393,        2456.51177,           1.00000,           1.00000,           1.00000,       10773.21365,           0.00000
54,        3172.00000,        2546.00000,        2546.00000,       50810.81014,      129748.41975,        2566.41619,        1951.18241,        2444.99868,        2566.41619,        1951.18241,        2444.99868,           1.00000,           1.00000,           1.00000,       11182.68429,           0.00000
55,        3140.00000,        2491.00000,        2491.00000,       50598.26950,      134918.20956,        2559.88638,        1956.87691,        2435.25162,        2559.88638,        1956.87691,        2435.25162,           1.00000,           1.00000,           1.00000,       11588.53273,           0.00000
56,        3096.00000,        2415.00000,        2415.00000,       50341.51133,      140374.80865,        2553.69751,        1953.22562,        2421.61697,        2553.69751,        1953.22562,        2421.61697,           1.00000,           1.00000,           1.00000,       11997.82300,           0.00000
57,        3056.00000,        2359.00000,        2359.00000,       50069.94089,      145334.18703,        2548.69244,        1953.79035,        2413.00960,        2548.69244,        1953.79035,        2413.00960,           1.00000,           1.00000,           1.00000,       12401.88156,           0.00000
58,        3028.00000,        2274.00000,        2274.00000,       49820.10264,      150140.29067,        2547.93423,        1954.21585,        2400.09286,        2547.93423,        1954.21585,        2400.09286,           1.00000,           1.00000,           1.00000,       12792.87569,           0.00000
59,        2991.00000,        2222.00000,        2222.00000,       49335.04228,      154262.82130,        2542.77513,        1942.18299,        2388.36010,        2542.77513,        1942.18299,        2388.36010,           1.00000,           1.00000,           1.00000,       13170.75878,           0.00000
60,        2943.00000,        2157.00000,        2157.00000,       49068.53814,      158569.72053,        2537.66039,        1959.12676,        2383.14886,        2537.66039,        1959.12676,        2383.14886,           1.00000,           1.00000,           1.00000,       13551.97681,           0.00000
61,        2902.00000,        2088.00000,        2088.00000,       48628.87863,      162699.37578,        2530.87330,        1958.80650,        2370.41073,        2530.87330,        1958.80650,        2370.41073,           1.00000,           1.00000,           1.00000,       13929.43005,           0.00000
62,        2864.00000,        2036.00000,        2036.00000,       48282.52723,      166477.76052,        2532.08690,        1958.78485,        2366.34175,        2532.08690,        1958.78485,        2366.34175,           1.00000,           1.00000,           1.00000,       14299.99078,           0.00000
63,        2800.00000,        1948.00000,        1948.00000,       47557.65437,      169997.21170,        2511.55304,        1957.29448,        2342.90008,        2511.55304,        1957.29448,        2342.90008,           1.00000,           1.00000,           1.00000,       14668.65264,           0.00000
64,        2753.00000,        1859.00000,        1859.00000,       47150.99650,      173734.89028,        2520.22532,        1957.34999,        2337.43908,        2520.22532,        1957.34999,        2337.43908,           1.00000,           1.00000,           1.00000,       15038.65272,           0.00000
65,        2696.00000,        1739.00000,        1739.00000,       46943.91719,      192138.55276,        2543.65461,        1953.58802,        2334.19848,        2543.65461,        1953.58802,        2334.19848,           1.00000,           1.00000,           1.00000,       15404.06483,           0.98034
66,        2642.00000,        1660.00000,        1660.00000,       46156.29093,      211848.29594,        2519.37710,        1943.48366,        2305.32435,        2519.37710,        1943.48366,        2305.32435,           1.00000,           1.00000,           1.00000,       17039.61181,           0.98410
67,        2587.00000,        1550.00000,        1550.00000,       46212.66967,      232751.64693,        2506.22154,        1931.14787,        2275.70302,        2506.22154,        1931.14787,        2275.70302,           1.00000,           1.00000,           1.00000,       18818.06653,           0.98763
68,        2529.00000,        1435.00000,        1435.00000,       46344.14955,      255320.71427,        2479.04132,        1920.85653,        2237.58060,        2479.04132,        1920.85653,        2237.58060,           1.00000,           1.00000,           1.00000,       20750.95255,           0.99051
69,        2455.00000,        1325.00000,        1325.00000,       46449.01859,      277937.13428,        2470.15611,        1913.93335,        2214.13504,        2470.15611,        1913.93335,        2214.13504,           1.00000,           1.00000,           1.00000,       22790.15234,           0.99145
70,        2380.00000,        1266.00000,        1267.00000,       46835.73970,      303515.20077,        2462.57605,        1898.24982,        2198.43343,        2460.63242,        1896.54735,        2197.51011,           1.00000,           1.00000,           1.00000,       25059.02416,           1.00000
71,        2305.00000,        1208.00000,           1.00000,       38105.62867,      308529.13020,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       27174.14484,           1.00000
72,        2220.00000,        1092.00000,           1.00000,       40021.10508,      314574.80426,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       29482.75865,           1.00000
73,        2139.00000,        1038.00000,           1.00000,       41982.92370,      321349.60974,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       31984.25159,           1.00000
74,        2026.00000,         929.00000,           1.00000,       44203.35762,      327892.93177,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       34663.97683,           1.00000
75,        1903.00000,         859.00000,           1.00000,       46464.45250,      335863.65727,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       37603.82025,           1.00000
76,        1782.00000,         747.00000,           1.00000,       48927.11357,      343923.97413,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       40783.27872,           1.00000
77,        1645.00000,         672.00000,           1.00000,       51508.02008,      352704.45488,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       44154.65055,           1.00000
78,        1529.00000,         600.00000,           1.00000,       54345.11336,      362817.88278,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       47851.27280,           1.00000
79,        1401.00000,         500.00000,           1.00000,       57469.54773,      374016.71692,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       51847.31225,           1.00000
80,        1262.00000,         429.00000,           1.00000,       60793.33993,      387642.17930,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       56300.19637,           1.00000
81,        1089.00000,         349.00000,           1.00000,       65068.43871,      402357.89251,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       61191.38137,           1.00000
82,         942.00000,         281.00000,           1.00000,       69834.47406,      418103.67014,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       66558.63343,           1.00000
83,         801.00000,         220.00000,           1.00000,       74955.01272,      432826.27783,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       72242.77689,           1.00000
84,         677.00000,         178.00000,           1.00000,       79939.76997,      449231.44135,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       78651.84272,           1.00000
85,         557.00000,         143.00000,           1.00000,       86412.87634,      464417.56051,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       85447.81392,           1.00000
86,         443.00000,         101.00000,           1.00000,       93601.32316,      477534.14719,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,       92602.58983,           1.00000
87,         360.00000,          72.00000,           1.00000,      103044.54619,      490211.00597,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      100570.45657,           1.00000
88,         269.00000,          42.00000,           1.00000,      114939.83360,      500588.61107,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      109797.49805,           1.00000
89,         215.00000,          25.00000,           1.00000,      126006.30043,      504342.12873,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      118475.20327,           1.00000
90,         161.00000,          14.00000,           1.00000,      145107.15823,      508260.40141,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      128805.85622,           1.00000
91,         120.00000,           2.00000,           1.00000,      170083.87619,      505274.85085,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      140943.62904,           1.00000
92,          91.00000,           1.00000,           1.00000,      209081.88010,      477337.97472,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      153593.87134,           1.00000
93,          70.00000,           1.00000,           1.00000,      248437.98648,      423096.48246,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      166437.66112,           1.00000
94,          52.00000,           1.00000,           1.00000,      288448.71895,      355446.84201,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,      184196.89305,           1.00000
95,           1.00000,           1.00000,           1.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000,           0.00000
